#id  northing easting
4825 6082753 466379
4826 6082753 467878
4827 6082754 469378
4828 6082753 470878
4829 6082754 472379
4830 6082754 473879
4831 6082753 475379
4832 6082753 476878
4833 6082753 478378
4834 6082754 479878
4835 6082754 481379
4836 6082753 482879
4837 6082754 484379
4838 6082754 485878
4839 6082754 487378
4840 6082754 488878
4841 6082753 490378
4842 6082754 491879
4843 6084044 452128
4844 6084044 453629
4845 6084044 455128
4846 6084043 456629
4847 6084044 458128
4848 6084044 459629
4849 6084044 461128
4850 6084044 462628
4851 6084043 464129
4852 6084043 465628
4853 6084044 467129
4854 6084043 468628
4855 6084044 470129
4856 6084043 471628
4857 6084044 473128
4858 6084043 474629
4859 6084043 476128
4860 6084044 477629
4861 6084044 479128
4862 6084044 480628
4863 6084044 482129
4864 6084043 483628
4865 6084044 485129
4866 6084044 486628
4867 6084044 488128
4868 6084043 489629
4869 6084044 491128
4870 6084043 492629
4871 6085343 452879
4872 6085343 454379
4873 6085344 455878
4874 6085343 457378
4875 6085344 458879
4876 6085344 460378
4877 6085344 461878
4878 6085343 463379
4879 6085344 464879
4880 6085344 466378
4881 6085344 467879
4882 6085344 469379
4883 6085343 470878
4884 6085343 472379
4885 6085343 473878
4886 6085343 475378
4887 6085344 476879
4888 6085343 478378
4889 6085343 479878
4890 6085343 481379
4891 6085344 482878
4892 6085343 484379
4893 6085344 485879
4894 6085344 487378
4895 6085343 488879
4896 6085344 490378
4897 6085343 491878
4898 6085343 493379
4899 6086643 452128
4900 6086644 453629
4901 6086643 455129
4902 6086643 456629
4903 6086643 458129
4904 6086644 459629
4905 6086644 461129
4906 6086643 462629
4907 6086644 464128
4908 6086643 465628
4909 6086643 467128
4910 6086643 468628
4911 6086644 470128
4912 6086643 471629
4913 6086643 473129
4914 6086643 474629
4915 6086644 476129
4916 6086643 477629
4917 6086644 479128
4918 6086644 480628
4919 6086643 482128
4920 6086644 483628
4921 6086643 485129
4922 6086643 486629
4923 6086643 488129
4924 6086644 489628
4925 6086643 491128
4926 6086644 492628
4927 6086644 494128
4928 6087944 451379
4929 6087944 452878
4930 6087944 454378
4931 6087944 455878
4932 6087943 457379
4933 6087943 458879
4934 6087944 460379
4935 6087943 461878
4936 6087944 463378
4937 6087943 464878
4938 6087944 466378
4939 6087943 467879
4940 6087943 469379
4941 6087944 470879
4942 6087944 472378
4943 6087944 473878
4944 6087944 475378
4945 6087943 476878
4946 6087944 478379
4947 6087944 479879
4948 6087944 481379
4949 6087943 482879
4950 6087944 484379
4951 6087943 485878
4952 6087943 487378
4953 6087944 488878
4954 6087944 490378
4955 6087944 491878
4956 6087944 493379
4957 6087944 494879
4958 6089244 447628
4959 6089243 449129
4960 6089244 450628
4961 6089243 452129
4962 6089243 453628
4963 6089243 455129
4964 6089244 456628
4965 6089243 458128
4966 6089243 459629
4967 6089243 461128
4968 6089243 462629
4969 6089244 464128
4970 6089244 465628
4971 6089244 467129
4972 6089244 468628
4973 6089243 470129
4974 6089244 471629
4975 6089244 473128
4976 6089244 474629
4977 6089243 476128
4978 6089244 477628
4979 6089243 479129
4980 6089243 480628
4981 6089244 482128
4982 6089244 483629
4983 6089244 485128
4984 6089243 486628
4985 6089244 488129
4986 6089244 489628
4987 6089243 491129
4988 6089243 492629
4989 6089243 494128
4990 6089243 495629
4991 6090543 446878
4992 6090543 448378
4993 6090544 449879
4994 6090543 451378
